"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","HIMS","Hims & Hers Health","57.820","+1.620","2.88%","36251598","2103657822","13068452173.42","56.600","56.780","4","29","56.230","56.200","59.360","56.170","1.02","-75.76%","5.68","109.094","18.81","0.04","-0.10%","4.18%","19.44%","31.53%","39.63%","98.42%","241.73%","139.12%","专业与通用药品制造商"
"2","AVAI","AVANT TECHNOLOGIES INC","0.3750","+0.0050","1.38%","208503","75086.718","51611049.375","0.0000","0.0000","0","0","0.3700","0.3700","0.3980","0.3470","3.19","0.00%","13.63","-37.500","0.20","1.32","0.00%","-6.79%","-4.53%","1.35%","-36.87%","-23.47%","-26.18%","-27.34%","-"
"3","TEM","Tempus AI","88.240","+1.170","1.34%","17676495","1565312923","15329719717.92","87.180","87.400","18","30","88.430","87.070","90.970","86.500","2.84","-25.00%","5.13","-19.165","16.93","-0.16","-1.25%","2.15%","10.83%","15.03%","34.78%","84.49%","76.16%","161.37%","健康信息服务"
"4","GEHC","GE HealthCare Technologies","74.910","+0.910","1.23%","6294213","471789581","34201062191.67","73.010","75.800","155","55","74.460","74.000","75.540","74.390","1.87","47.62%","1.55","17.260","1.38","-0.13","-0.23%","-2.00%","-1.08%","2.41%","3.02%","-6.28%","-17.19%","-4.05%","健康信息服务"
"5","ISRG","直觉外科公司","438.720","+2.890","0.66%","3780685","1656895360","157270812712.32","436.260","437.230","1","2","439.460","435.830","440.500","434.740","1.53","-33.33%","1.32","68.336","1.07","-0.17","-0.10%","-2.44%","-6.03%","-6.63%","-15.89%","-10.80%","-10.47%","-15.95%","医疗设备和用品"
"6","GH","Guardant Health","59.150","+0.350","0.60%","2807950","165859412","7376351441.55","54.010","59.640","100","20","59.180","58.800","59.720","58.630","1.22","66.67%","1.85","-16.615","2.34","-0.14","0.00%","7.75%","-1.63%","-3.48%","18.54%","37.11%","132.97%","93.62%","诊断与研究"
"7","RBOT","Vicarious Surgical","5.850","-0.010","-0.17%","51833","308614","34820621.55","5.310","6.310","100","4","5.840","5.860","6.180","5.800","1.60","92.31%","6.48","-0.544","1.66","-0.49","0.52%","0.52%","2.81%","-8.31%","-26.60%","-5.19%","-0.17%","-55.55%","医疗设备"
"8","RDNT","RadNet","76.440","-0.140","-0.18%","1308254","99743538","5879463779.28","75.830","76.440","26","1","77.280","76.580","77.280","75.120","1.33","92.59%","2.82","1911.000","1.89","-0.11","0.30%","3.28%","7.04%","11.41%","36.26%","54.61%","9.76%","9.45%","诊断与研究"
"9","TWST","Twist Bioscience","27.890","-0.060","-0.21%","2856965","80129297","1683466198.25","27.740","27.970","30","10","28.080","27.950","28.580","27.730","1.62","50.00%","3.04","-7.747","4.82","0.04","-0.68%","10.19%","8.27%","5.36%","-24.60%","-30.90%","-41.88%","-39.98%","诊断与研究"
"10","SYK","史赛克","376.830","-1.010","-0.27%","1924258","726868834","144064859105.34","370.000","410.000","3","90","379.080","377.840","380.400","376.310","1.72","-93.55%","1.08","48.560","0.56","0.13","-0.22%","-1.70%","-3.95%","-2.08%","-3.72%","3.84%","4.16%","5.13%","医疗设备"
"11","ILMN","Illumina","102.750","-0.280","-0.27%","3621727","372126118","15792675000","101.980","104.030","38","38","102.790","103.030","103.940","101.690","2.37","0.00%","2.18","-13.361","2.43","0.01","-0.09%","8.02%","3.86%","3.48%","10.21%","28.44%","-23.54%","-23.11%","诊断与研究"
"12","CAH","卡地纳健康","149.600","-0.440","-0.29%","3661933","548108002","35542369227.2","116.860","171.780","100","100","150.120","150.040","150.700","148.955","2.17","0.00%","1.16","23.193","1.54","0.01","-0.26%","-1.73%","0.03%","-1.30%","-8.36%","10.38%","37.19%","27.89%","医疗分销"
"13","RXRX","Recursion Pharmaceuticals","4.910","-0.020","-0.41%","53313491","263495579","2131684036.85","5.020","5.030","1091","968","4.990","4.930","5.150","4.860","2.34","5.97%","5.88","-2.905","12.84","-0.30","-1.11%","1.66%","6.51%","2.72%","-4.84%","-15.49%","-29.25%","-27.37%","生物技术"
"14","DNA","Ginkgo Bioworks","11.370","-0.050","-0.44%","1549519","17624034","673101191.61","10.600","11.260","100","49","11.470","11.420","11.680","11.101","1.14","34.23%","5.07","-1.078","3.73","0.31","0.00%","13.59%","1.97%","-3.32%","22.00%","85.78%","36.82%","15.78%","生物技术"
"15","VEEV","Veeva Systems","277.790","-1.290","-0.46%","2339581","649990266","45532006931.27","268.300","291.000","50","9","279.730","279.080","280.095","275.970","2.31","69.49%","1.48","64.303","1.56","0.29","-0.14%","0.49%","1.78%","-1.59%","-0.61%","18.61%","29.57%","32.12%","健康信息服务"
