"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","MNDY","monday.com","219.150","+12.970","6.29%","2338344","503325635","11297502897.3","217.010","218.800","16","15","207.780","206.180","220.320","207.500","1.36","3.23%","6.22","353.467","5.80","-0.29","-0.20%","14.17%","17.99%","27.81%","-26.55%","-11.28%","-20.11%","-6.92%","应用软件"
"2","KVYO","Klaviyo","35.230","+1.670","4.98%","4000361","140198962","10568449249.41","31.900","41.580","1","100","34.860","33.560","35.300","34.340","1.42","-98.02%","2.86","-207.235","3.47","0.06","0.38%","12.95%","9.44%","10.16%","7.54%","13.57%","5.23%","-14.57%","软件基础设施"
"3","APP","Applovin","649.590","+28.070","4.52%","73131599","47310869863","219723761635.26","645.250","647.980","100","34","628.480","621.520","653.060","617.560","8.74","49.25%","5.71","143.397","32.67","0.11","-0.03%","11.61%","32.50%","55.12%","91.73%","138.49%","423.86%","100.60%","广告代理"
"4","SOUN","SoundHound AI","16.250","+0.620","3.97%","91711901","1477860634","6624902342.5","15.950","15.990","459","395","15.660","15.630","16.620","15.610","1.28","7.49%","6.46","-15.625","26.00","-0.06","0.58%","15.08%","13.96%","32.87%","69.80%","91.18%","224.35%","-18.09%","应用软件"
"5","SNOW","Snowflake","230.480","+8.370","3.77%","7774901","1779921476","78086624000","228.480","229.460","100","11","223.310","222.110","231.940","222.570","1.79","80.18%","4.22","-59.709","2.47","-0.12","0.20%","4.22%","2.17%","18.39%","4.04%","53.01%","102.14%","49.26%","应用软件"
"6","APPS","Digital Turbine","5.520","+0.180","3.37%","3989027","21947692","598231689.12","5.100","5.510","5","100","5.330","5.340","5.625","5.280","0.96","-90.48%","6.46","-6.202","4.12","-0.45","-0.63%","19.48%","23.77%","43.01%","6.36%","94.37%","90.34%","226.63%","应用软件"
"7","PLTR","Palantir","182.390","+5.420","3.06%","109129929","19858495104","432691534166.19","179.230","179.420","18","26","177.070","176.970","184.420","176.710","1.98","-18.18%","4.36","959.947","5.04","-0.07","-0.76%","6.39%","19.12%","16.78%","27.63%","112.45%","395.22%","141.16%","软件基础设施"
"8","RBRK","Rubrik","80.230","+2.210","2.83%","10103299","807648618","15842110297.55","80.200","81.000","50","100","78.490","78.020","80.930","77.580","1.65","-33.33%","4.29","-13.184","7.28","0.00","-0.77%","7.69%","-11.77%","-5.88%","-11.41%","26.03%","145.35%","22.75%","软件基础设施"
"9","MDB","MongoDB","323.430","+7.130","2.25%","3034291","977870021","26313259902.99","322.000","323.420","47","23","320.150","316.300","325.540","317.919","1.16","34.29%","2.41","-186.953","3.83","-0.02","-0.03%","-2.02%","-0.40%","52.59%","56.43%","81.67%","13.94%","38.92%","软件基础设施"
"10","ZETA","Zeta Global","21.490","+0.390","1.85%","9065369","193331107","5115496405.18","21.210","21.230","101","100","21.260","21.100","21.560","20.880","1.39","0.50%","3.22","-56.552","4.66","0.17","0.73%","5.60%","13.70%","17.50%","43.08%","56.18%","-24.33%","19.46%","软件基础设施"
"11","DDOG","Datadog","138.820","+2.010","1.47%","10124436","1400062667","48412798391.32","137.990","138.660","1","43","136.320","136.810","139.080","135.860","2.51","-95.45%","2.35","266.961","3.20","0.04","0.11%","1.70%","2.01%","7.49%","6.59%","37.31%","20.17%","-2.85%","应用软件"
"12","NOW","ServiceNow","961.150","+13.410","1.41%","2807205","2696543091","199456886850","956.340","961.870","2","25","951.850","947.740","965.740","950.000","2.21","-85.19%","1.66","140.519","1.36","-0.38","-0.33%","3.47%","5.18%","9.60%","-4.38%","20.48%","4.56%","-9.34%","应用软件"
"13","TEM","Tempus AI","88.240","+1.170","1.34%","17676495","1565312923","15329719717.92","87.170","87.480","40","5","88.430","87.070","90.970","86.500","2.84","77.78%","5.13","-19.165","16.93","-0.16","-1.25%","2.15%","10.83%","15.03%","34.78%","84.49%","76.16%","161.37%","健康信息服务"
