"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","COSM","Cosmos Health","0.9530","+0.0210","2.30%","381428","348285","28802887.991","0.8700","0.9470","82","5","0.9100","0.9320","0.9530","0.8650","0.47","88.51%","9.48","-0.814","1.90","1.74","2.64%","1.90%","46.89%","25.80%","119.15%","111.37%","-12.54%","42.50%","医疗分销"
"2","BMNR","Bitmine Immersion Technologies","61.290","+1.330","2.22%","70773114","4334776937","10633628065.5","56.660","57.000","110","2035","60.000","59.960","64.250","59.120","1.17","-89.74%","8.56","-43.778","43.58","2.34","0.86%","11.25%","45.79%","28.41%","1302.52%","467.50%","489.33%","685.77%","资本市场"
"3","SBET","SharpLink Gaming","17.330","+0.110","0.64%","29627588","513792299","3346920786.92","16.260","16.300","10","4919","16.880","17.220","17.840","16.756","1.30","-99.59%","6.30","0.630","15.37","-0.08","-0.57%","-2.09%","16.04%","-3.94%","68.58%","434.68%","115.55%","124.18%","博彩"
"4","BTBT","Bit Digital","3.120","0.000","0.00%","65925197","206351058","1002870092.64","2.960","2.970","5942","1646","3.150","3.120","3.210","3.070","3.00","56.62%","4.49","16.421","20.88","0.00","-0.16%","5.05%","24.30%","14.71%","32.77%","48.57%","2.30%","6.48%","资本市场"
"5","COIN","Coinbase","342.460","-0.670","-0.20%","13272061","4546444083","87991041246.22","329.500","329.930","293","87","342.760","343.130","349.700","337.660","1.39","54.21%","3.51","36.124","6.46","-0.17","-0.42%","6.01%","14.51%","14.05%","-3.63%","96.90%","103.55%","37.92%","金融数据与证券交易所"
"6","BTCT","BTC Digital","2.890","-0.020","-0.69%","163249","471943","27504057.75","2.430","2.880","100","200","2.940","2.910","2.956","2.840","0.44","-33.33%","3.97","-4.378","1.90","-0.52","1.05%","3.21%","17.48%","13.33%","-4.93%","-27.39%","106.43%","-39.54%","计算机硬件"
"7","ICG","聪链集团","1.870","-0.020","-1.06%","80402","151035","113297553.49","1.870","2.110","1","100","1.900","1.890","1.931","1.850","0.63","-98.02%","4.26","15.454","0.63","0.48","0.00%","0.54%","5.65%","-4.59%","10.65%","-36.18%","-75.62%","-43.33%","半导体"
"8","PPCB","Propanc Biopharma","2.160","-0.030","-1.37%","215605","476214","27241449.12","2.080","2.160","10","1715","2.250","2.190","2.280","2.125","0.33","-98.84%","7.08","-0.001","7.08","-0.46","-0.46%","-2.70%","0.47%","-46.80%","-47.95%","-58.86%","-92.80%","-82.00%","生物技术"
"9","BTCS","BTCS Inc","4.780","-0.130","-2.65%","4865741","23089523","229692278.84","4.460","4.480","200","100","4.830","4.910","4.890","4.570","1.88","33.33%","6.52","-59.750","11.91","-0.10","1.03%","-0.21%","13.54%","10.90%","117.27%","206.41%","298.33%","93.52%","资本市场"
"10","GAME","GameSquare","0.7250","-0.0500","-6.47%","6504297","4735688","71734382.662","0.7000","0.7200","200","2950","0.7700","0.7750","0.7790","0.7000","2.28","-87.30%","10.15","-0.414","7.55","2.63","1.36%","2.20%","4.14%","-7.28%","-3.24%","16.87%","-19.48%","-12.19%","电子游戏与多媒体"
