"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","ABTS","Abits","7.323","+1.813","32.91%","184038","1254592","17355710.385","5.960","7.590","100","100","5.710","5.510","8.000","5.610","4.03","0.00%","43.38","-18.777","10.80","-0.36","-3.52%","73.99%","110.43%","84.00%","92.71%","123.45%","-6.51%","-29.13%","资本市场"
"2","MSW","明成集团","2.670","+0.190","7.66%","75758","196972","34643250","2.550","2.930","10870","100","2.540","2.480","2.700","2.500","1.46","98.18%","8.06","-6.040","3.21","-0.70","-0.70%","6.80%","12.18%","42.02%","-45.23%","-26.04%","-51.45%","-56.94%","建筑工程"
"3","EBON","亿邦国际","5.060","+0.350","7.43%","59812","299842","31779916.96","4.490","5.570","100","100","4.680","4.710","5.200","4.680","2.14","0.00%","11.04","-1.571","1.37","0.00","1.20%","12.95%","30.41%","30.08%","51.04%","24.94%","-18.12%","-11.54%","计算机硬件"
"4","IREN","IREN Ltd","38.640","+2.320","6.39%","36698947","1411628420","10509326288.16","37.930","37.990","200","200","36.710","36.320","39.870","36.630","1.16","0.00%","8.92","99.076","16.07","-0.16","0.14%","13.78%","47.76%","97.24%","225.53%","536.57%","396.02%","293.48%","资本市场"
"5","ALTS","ALT5 Sigma","3.900","+0.220","5.98%","17855282","69737941","487292239.2","3.740","4.000","510","50","3.800","3.680","4.220","3.770","2.64","82.14%","12.23","-6.964","15.97","-0.64","-0.51%","-6.70%","-11.26%","-29.28%","-58.42%","-5.57%","90.24%","-16.13%","应用软件"
"6","SORA","AsiaStrategy","5.590","+0.290","5.47%","28604","155630","138989760","4.810","6.830","100","100","5.370","5.300","5.600","5.300","0.71","0.00%","5.66","-2795.000","1.07","0.36","0.36%","-0.42%","-3.12%","5.87%","-11.41%","45.95%","45.95%","45.95%","奢侈品"
"7","BLSH","Bullish","69.180","+3.570","5.44%","7042081","468426894","10112991064.02","65.410","65.900","63","63","63.200","65.610","69.900","62.800","1.19","0.00%","10.82","128.826","22.44","-0.16","-0.20%","33.45%","32.15%","-0.89%","86.97%","86.97%","86.97%","86.97%","软件基础设施"
"8","SOFI","SoFi Technologies","29.510","+1.400","4.98%","74760864","2184972408","35336752451","29.530","29.550","255","200","28.265","28.110","29.630","28.240","1.09","12.09%","4.94","75.666","6.35","-0.02","-0.03%","11.15%","15.27%","26.49%","83.52%","149.03%","260.32%","91.62%","信贷"
"9","ARBK","Argo Blockchain","0.2800","+0.0130","4.89%","1313455","356743","20164026.789","0.2700","0.2800","1159","800","0.2700","0.2670","0.2800","0.2620","0.55","18.33%","6.90","-0.310","2.16","1.33","0.47%","3.32%","14.81%","3.36%","-22.28%","-24.17%","-77.79%","-50.48%","资本市场"
"10","FIGR","Figure Technology Solutions","44.960","+1.785","4.13%","6005524","260537079","9516016847.84","45.100","45.200","100","500","42.955","43.175","45.740","41.100","0.61","-66.67%","10.75","555.061","19.07","1.75","0.58%","38.34%","79.84%","79.84%","79.84%","79.84%","79.84%","79.84%","资本市场"
"11","NA","纳比特","5.410","+0.210","4.04%","117286","618089","127523616.53","5.220","5.690","50","5","5.130","5.200","5.420","5.130","0.84","81.82%","5.58","-2.737","1.73","-0.01","0.19%","8.20%","9.74%","19.69%","-52.33%","20.22%","82.03%","-39.56%","半导体"
"12","CIFR","Cipher Mining","12.280","+0.430","3.63%","39415062","484867632","4829510991.12","12.080","12.120","600","600","11.760","11.850","12.820","11.715","1.08","0.00%","9.32","-87.714","13.56","-0.57","-1.71%","13.18%","63.30%","108.14%","218.96%","429.31%","319.11%","164.66%","资本市场"
"13","BKKT","Bakkt Holdings","10.440","+0.330","3.26%","2710837","28688704","166352390.28","9.410","10.440","100","1","10.260","10.110","11.110","10.260","1.98","98.02%","8.41","-1.309","17.62","0.14","-0.48%","9.66%","22.54%","31.32%","-19.26%","14.60%","-6.12%","-57.85%","软件基础设施"
"14","HOOD","Robinhood","124.780","+3.870","3.20%","202388423","25191260120","110888878104.54","123.220","123.310","470","137","121.700","120.910","125.180","121.000","5.26","54.86%","3.46","79.987","26.71","0.21","0.14%","8.48%","23.24%","17.38%","50.79%","197.66%","447.04%","234.89%","资本市场"
"15","DJT","特朗普媒体科技集团","17.440","+0.510","3.01%","18957470","328633012","4832055386.24","17.540","17.560","166","200","17.030","16.930","17.690","16.940","2.53","-9.29%","4.43","-9.598","12.37","0.09","-1.02%","2.65%","4.56%","0.35%","-1.69%","-12.05%","18.64%","-48.86%","互联网内容与信息"
"16","CRCL","Circle","144.140","+3.720","2.65%","16115641","2314741938","33233639676.56","137.750","138.300","5","50","145.050","140.420","147.700","139.530","1.06","-81.82%","5.82","197.452","17.77","-0.38","-0.23%","15.02%","25.82%","9.36%","-27.43%","364.97%","364.97%","364.97%","资本市场"
"17","IMG","CIMG","0.2750","+0.0070","2.50%","3675920","1016835","50736790.225","0.2380","0.2780","100","18","0.2680","0.2680","0.3230","0.2600","1.10","69.49%","23.56","-0.069","2.37","0.51","-1.04%","7.76%","21.36%","15.89%","-1.93%","-48.02%","-60.26%","-62.33%","包装食品"
"18","BMNR","Bitmine Immersion Technologies","61.290","+1.330","2.22%","70773114","4334776937","10633628065.5","56.500","56.830","1023","3","60.000","59.960","64.250","59.120","1.17","99.42%","8.56","-43.778","43.58","2.34","0.86%","11.25%","45.79%","28.41%","1302.52%","467.50%","489.33%","685.77%","资本市场"
