"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","ABTS","Abits","7.323","+1.813","32.91%","184038","1254592","17355710.385","5.960","7.590","100","100","5.710","5.510","8.000","5.610","4.03","0.00%","43.38","-18.777","10.80","-0.36","-3.52%","73.99%","110.43%","84.00%","92.71%","123.45%","-6.51%","-29.13%","资本市场"
"2","SLNH","Soluna Holdings","1.080","+0.224","26.14%","12364472","12426369","32557634.64","1.140","1.150","102","1301","0.870","0.856","1.090","0.870","0.50","-85.46%","25.69","-0.088","53.68","0.01","0.93%","50.69%","126.56%","141.07%","92.86%","20.76%","-66.56%","-48.57%","资本市场"
"3","SOS","SOS Ltd","1.900","+0.160","9.20%","385206","726134","17111242.3","1.900","2.000","120","754","1.780","1.740","1.970","1.740","2.02","-72.54%","13.22","-0.423","4.76","2.19","1.33%","2.70%","55.74%","10.47%","-66.07%","-58.01%","-79.96%","-72.22%","资本市场"
"4","RVYL","Ryvyl","0.3000","+0.0200","7.26%","7144060","2196696","9402603.3","0.2650","0.3260","100","100","0.2750","0.2800","0.3300","0.2730","6.83","0.00%","20.31","-0.074","30.70","1.52","0.87%","-1.32%","9.01%","-3.54%","-63.99%","-71.70%","-76.19%","-76.92%","软件基础设施"
"5","IREN","IREN Ltd","38.640","+2.320","6.39%","36698947","1411628420","10509326288.16","37.830","37.860","19","100","36.710","36.320","39.870","36.630","1.16","-68.07%","8.92","99.076","16.07","-0.16","0.14%","13.78%","47.76%","97.24%","225.53%","536.57%","396.02%","293.48%","资本市场"
"6","GREE","Greenidge Generation","1.630","+0.090","5.84%","215282","343135","25547669.71","1.540","1.840","800","100","1.540","1.540","1.640","1.511","0.67","77.78%","8.41","-0.867","1.90","0.93","-0.61%","8.67%","38.14%","23.48%","31.45%","97.86%","-7.91%","5.16%","资本市场"
"7","CIFR","Cipher Mining","12.280","+0.430","3.63%","39415062","484867632","4829510991.12","12.040","12.070","600","600","11.760","11.850","12.820","11.715","1.08","0.00%","9.32","-87.714","13.56","-0.57","-1.71%","13.18%","63.30%","108.14%","218.96%","429.31%","319.11%","164.66%","资本市场"
"8","MOGO","Mogo Inc","1.980","+0.050","2.59%","222178","434207","47419020","1.560","2.150","100","100","1.940","1.930","1.995","1.900","0.69","0.00%","4.92","-4.876","1.11","0.25","0.25%","3.13%","8.20%","17.16%","57.14%","120.00%","62.30%","45.59%","软件基础设施"
"9","CLSK","CleanSpark","13.620","+0.160","1.19%","47361377","650198334","3828355662.84","12.960","12.990","500","500","13.330","13.460","14.050","13.190","1.46","0.00%","6.39","-19.739","17.26","-0.04","-0.11%","31.59%","47.40%","45.98%","28.49%","89.43%","54.07%","47.88%","资本市场"
"10","IBM","IBM Corp","266.400","+1.400","0.53%","9858112","2625332232","248156726068.8","265.000","265.100","56","60","266.050","265.000","267.870","263.640","2.57","-3.45%","1.60","41.430","1.06","-0.36","-0.17%","5.11%","7.19%","11.28%","-7.85%","10.65%","28.07%","23.63%","信息技术服务"
