"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","ORCL","甲骨文","308.660","+12.040","4.06%","40776201","12466422672","877123443240","308.960","309.500","21","4","299.000","296.620","311.110","297.320","1.01","68.00%","4.65","71.119","2.52","-0.20","-0.25%","5.64%","32.59%","32.38%","46.79%","120.36%","86.10%","86.74%","软件基础设施"
"2","AAPL","苹果","245.500","+7.620","3.20%","163741314","40029475134","3643315745000","246.530","246.560","100","160","241.225","237.880","246.300","240.211","3.23","-23.08%","2.56","40.378","1.10","-0.09","-0.04%","4.88%","2.42%","9.16%","21.94%","12.94%","7.77%","-1.62%","消费电子产品"
"3","TSLA","特斯拉","426.070","+9.220","2.21%","93131034","39573005097","1416747037998.02","429.370","429.550","208","108","421.820","416.850","429.470","421.720","0.69","31.65%","1.86","208.857","3.35","-0.08","-0.10%","7.61%","21.44%","33.10%","30.08%","61.67%","74.68%","5.50%","汽车制造"
"4","MSFT","微软","517.930","+9.480","1.86%","52474093","27036027125","3849859862675.4702","514.800","515.100","5","100","510.560","508.450","519.300","510.310","2.74","-90.48%","1.77","37.971","0.71","-0.07","0.19%","1.57%","4.63%","2.71%","5.39%","37.21%","18.95%","23.55%","软件基础设施"
"5","NFLX","奈飞","1226.970","+19.190","1.59%","4947590","6050391263","521371878751.62","1217.170","1220.780","23","25","1218.620","1207.780","1229.950","1208.100","1.57","-4.17%","1.81","61.874","1.17","-0.15","-0.21%","3.24%","-1.35%","1.72%","-3.79%","31.39%","74.21%","37.66%","娱乐"
"6","GOOG","谷歌-C","255.240","+2.910","1.15%","41616844","10602399601","3086872560000","254.160","254.240","5","100","253.400","252.330","256.700","252.068","1.87","-90.48%","1.84","31.746","0.38","-0.13","0.05%","5.74%","8.63%","27.34%","48.97%","63.90%","57.04%","34.46%","互联网内容与信息"
"7","CRM","赛富时","247.090","+2.810","1.15%","11813947","2909227962","236218040000","246.100","246.730","20","4","246.020","244.280","247.200","243.350","1.34","66.67%","1.58","38.850","1.27","0.00","0.06%","1.96%","-1.29%","0.69%","-7.56%","-8.03%","-6.54%","-25.73%","应用软件"
"8","GOOGL","谷歌-A","254.720","+2.690","1.07%","55571424","14131016127","3080583680000","253.670","253.800","27","137","253.250","252.030","256.000","251.810","1.50","-67.07%","1.66","31.681","0.51","-0.18","0.06%","5.78%","8.49%","27.63%","49.37%","65.40%","57.79%","35.00%","互联网内容与信息"
"9","ASML","阿斯麦","932.150","+4.350","0.47%","2410535","2246978766","361114910000","960.830","961.400","100","99","926.070","927.800","938.650","925.870","1.17","0.50%","1.38","41.252","0.62","-0.04","-0.15%","14.53%","19.25%","26.75%","14.63%","38.96%","13.69%","35.54%","半导体设备与材料"
"10","NVDA","英伟达","176.670","+0.430","0.24%","237182143","41859203337","4293081000000","175.110","175.150","545","361","175.770","176.240","178.080","175.180","1.45","20.31%","1.65","60.091","1.01","-0.16","0.20%","-0.65%","5.78%","0.97%","14.50%","61.11%","49.93%","31.59%","半导体"
