"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","PONY","小马智行","20.710","+3.240","18.55%","28203260","553636185","7358108772.63","19.940","20.010","18","44","17.815","17.470","20.960","17.390","2.60","-41.94%","20.44","-26.449","16.14","0.14","-0.22%","38.16%","51.06%","44.22%","59.06%","130.88%","59.31%","44.32%","信息技术服务"
"2","WRD","文远知行","11.530","+1.070","10.23%","22958168","256070175","3280618274.65","11.700","11.730","20","50","10.840","10.460","11.635","10.390","3.29","-42.86%","11.90","-8.979","12.87","-0.30","0.57%","17.17%","27.12%","26.70%","46.69%","-20.59%","-25.61%","-18.69%","应用软件"
"3","AEVA","Aeva Technologies","18.280","+1.170","6.84%","4223805","77245482","1029670319.44","18.410","18.780","250","100","17.250","17.110","19.070","17.130","1.60","42.86%","11.34","-6.414","18.39","-0.22","-0.54%","14.04%","31.04%","31.51%","-37.33%","172.43%","480.32%","284.84%","软件基础设施"
"4","MVIS","维视图像","1.290","+0.040","3.20%","11095099","14242386","388244700.36","1.290","1.320","747","1639","1.260","1.250","1.310","1.241","2.45","-37.38%","5.54","-2.804","3.73","1.16","-0.39%","13.16%","16.22%","22.86%","21.70%","6.61%","12.17%","-1.53%","科技仪器"
"5","ARBE","Arbe Robotics","1.610","+0.040","2.55%","3839696","6172133","174952078.07","1.700","1.750","130","454","1.600","1.570","1.700","1.500","1.87","-55.48%","12.74","-2.639","5.19","0.00","-0.62%","20.15%","24.81%","31.97%","1.26%","49.07%","-15.19%","-13.44%","软件基础设施"
"6","TSLA","特斯拉","426.070","+9.220","2.21%","93131034","39573005097","1416747037998.02","429.400","429.510","14","200","421.820","416.850","429.470","421.720","0.69","-86.92%","1.86","208.857","3.35","-0.08","-0.10%","7.61%","21.44%","33.10%","30.08%","61.67%","74.68%","5.50%","汽车制造"
"7","MBLY","Mobileye Global","14.910","+0.320","2.19%","8934466","132795795","13829113535.58","14.820","14.990","1","1","14.760","14.590","15.020","14.520","1.58","0.00%","3.43","-3.903","4.21","0.06","-0.30%","9.55%","1.43%","7.34%","-16.80%","-1.32%","11.69%","-25.15%","汽车零件"
"8","MSFT","微软","517.930","+9.480","1.86%","52474093","27036027125","3849859862675.4702","515.000","515.100","1","100","510.560","508.450","519.300","510.310","2.74","-98.02%","1.77","37.971","0.71","-0.07","0.19%","1.57%","4.63%","2.71%","5.39%","37.21%","18.95%","23.55%","软件基础设施"
"9","XPEV","小鹏汽车","21.660","+0.370","1.74%","4651889","100658845","20647427143.44","21.430","21.460","10097","70","21.760","21.290","21.900","21.420","0.71","98.62%","2.25","-25.186","0.69","0.09","-0.09%","3.79%","9.23%","-4.79%","12.81%","9.95%","130.67%","83.25%","汽车制造"
"10","AUR","Aurora Innovation","6.060","+0.100","1.68%","33965445","205437839","11182713592.56","5.950","5.990","18","100","5.970","5.960","6.190","5.900","2.07","-69.49%","4.87","-13.173","3.05","-0.23","-0.98%","6.88%","5.76%","3.59%","14.56%","-9.35%","16.09%","-3.81%","信息技术服务"
