"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","SYM","Symbotic","57.050","+5.790","11.30%","5132566","288776917","6350517212.9","56.010","56.500","29","300","51.870","51.260","57.760","51.860","2.78","-82.37%","11.51","-407.500","5.92","-0.02","-1.16%","19.48%","18.24%","29.95%","63.42%","182.99%","128.20%","140.62%","专用工业机械"
"2","SERV","Serve Robotics","13.980","+1.140","8.88%","32026891","455309730","837146599.38","13.760","13.800","200","245","13.040","12.840","15.310","12.940","2.76","-10.11%","18.46","-18.298","71.22","-0.29","0.22%","15.25%","39.80%","51.14%","36.66%","122.26%","78.09%","3.56%","专用工业机械"
"3","MYO","Myomo","0.8700","+0.0300","3.57%","1729981","1520763","32886930.9","0.8580","0.9670","2065","100","0.8510","0.8400","0.9100","0.8500","0.67","90.76%","7.14","-5.437","5.90","2.30","1.16%","3.09%","-12.81%","-22.32%","-62.17%","-82.10%","-77.28%","-86.49%","医疗设备"
"4","GFAI","Guardforce AI","1.200","+0.030","2.56%","1094773","1297099","25228233.6","1.200","1.320","55","200","1.150","1.170","1.220","1.140","3.04","-56.86%","6.84","-2.264","5.58","-0.72","0.42%","4.35%","10.09%","17.65%","2.56%","16.50%","2.56%","-16.08%","安全与保护"
"5","PDYN","Palladyne AI","7.900","+0.190","2.46%","2901951","22992735","331396104.6","8.240","8.270","100","100","7.790","7.710","8.080","7.720","1.48","0.00%","4.67","-2.915","9.83","-0.06","-0.44%","7.19%","15.84%","6.18%","-4.01%","21.35%","315.79%","-35.62%","软件基础设施"
"6","TSLA","特斯拉","426.070","+9.220","2.21%","93131034","39573005097","1416747037998.02","429.380","429.550","8","57","421.820","416.850","429.470","421.720","0.69","-75.38%","1.86","208.857","3.35","-0.08","-0.10%","7.61%","21.44%","33.10%","30.08%","61.67%","74.68%","5.50%","汽车制造"
"7","GE","GE航天航空","301.140","+4.050","1.36%","9652627","2895159218","319340717001.18","300.040","301.280","20","25","297.790","297.090","303.030","295.363","2.32","-11.11%","2.58","50.273","0.91","-0.07","-0.44%","6.90%","7.85%","12.07%","20.68%","50.88%","62.81%","81.15%","航空航天与国防"
"8","KITT","Nauticus Robotics","3.340","+0.030","0.91%","896884","3068374","15685989.36","3.430","3.730","95","100","3.250","3.310","3.600","3.250","1.55","-2.56%","10.57","-0.010","21.54","0.15","-0.15%","0.00%","-23.92%","-53.00%","-60.81%","-62.89%","-78.04%","-76.06%","航空航天与国防"
"9","TER","泰瑞达","119.850","+1.030","0.87%","9576511","1145758688","19064962810.2","119.100","119.990","143","43","119.500","118.820","120.600","117.540","2.46","53.76%","2.58","36.099","6.05","-0.02","0.07%","6.78%","-0.29%","9.76%","33.01%","45.15%","-10.02%","-4.48%","半导体设备与材料"
"10","ISRG","直觉外科公司","438.720","+2.890","0.66%","3780685","1656895360","157270812712.32","436.260","437.230","1","2","439.460","435.830","440.500","434.740","1.53","-33.33%","1.32","68.336","1.07","-0.17","-0.10%","-2.44%","-6.03%","-6.63%","-15.89%","-10.80%","-10.47%","-15.95%","医疗设备和用品"
