"序号","代码","名称","最新价","涨跌额","涨跌幅","成交量","成交额","总市值","买入价","卖出价","买量","卖量","今开","昨收","最高","最低","量比","委比","振幅%","市盈率","换手率%","涨跌速率%","5分钟涨跌幅","5日涨跌幅","10日涨跌幅","20日涨跌幅","60日涨跌幅","120日涨跌幅","250日涨跌幅","年初至今涨跌幅","所属行业"
"1","OKLO","Oklo Inc","135.230","+30.260","28.83%","63583999","8037296229","19961191304.62","130.900","131.000","75","1","108.700","104.970","136.530","107.159","3.06","97.37%","27.98","-252.766","56.00","-0.39","0.05%","63.50%","93.77%","101.27%","143.35%","503.97%","1945.84%","536.98%","受监管电力"
"2","SMR","NuScale Power","46.770","+8.650","22.69%","52070386","2297901471","6262193195.52","44.830","44.990","938","30","39.200","38.120","47.000","39.000","2.85","93.80%","20.99","-31.816","40.27","0.61","0.17%","28.70%","35.45%","39.65%","20.98%","212.42%","386.68%","160.85%","专用工业机械"
"3","NNE","NANO Nuclear Energy","46.310","+8.100","21.20%","13423846","596612280","1925600966.63","44.080","44.490","369","1","38.300","38.210","46.430","38.220","4.16","99.46%","21.49","-139.909","46.91","-0.05","0.03%","40.08%","46.18%","59.03%","29.83%","72.99%","337.30%","86.02%","专用工业机械"
"4","LEU","Centrus Energy","294.490","+31.840","12.12%","3395635","987801522","5362027390.58","294.900","297.320","6","4","260.000","262.650","301.570","260.000","2.69","20.00%","15.83","65.881","20.17","-0.48","-0.35%","32.58%","43.38%","66.12%","62.54%","344.51%","610.47%","342.11%","铀"
"5","UUUU","Energy Fuels","14.860","+0.760","5.39%","20708607","307639932","3427829207.18","14.900","14.970","50","400","14.100","14.100","15.285","14.010","1.51","-77.78%","9.04","-53.071","9.35","-0.20","-1.33%","24.56%","28.55%","58.09%","164.88%","296.27%","200.20%","189.67%","铀"
"6","NXE","NexGen Energy","8.810","+0.430","5.13%","12964766","113187717","5032421470.46","8.830","9.600","400","100","8.320","8.380","8.930","8.320","1.51","60.00%","7.28","-86.372","2.50","-0.06","-0.45%","15.47%","12.95%","33.69%","32.28%","93.63%","47.32%","33.48%","铀"
"7","CCJ","Cameco","86.180","+3.570","4.32%","7982567","682494558","37521690268.64","86.010","88.000","1000","50","83.000","82.610","86.840","82.400","1.32","90.48%","5.37","304.522","1.84","-0.31","0.01%","10.33%","13.62%","20.65%","20.65%","106.02%","110.20%","67.70%","铀"
"8","YLLXF","YELLOW CAKE PLC","7.550","+0.215","2.93%","4530","32985.12","1637266174.85","0.000","0.000","0","0","7.250","7.335","7.550","7.250","0.98","0.00%","4.09","-3.495","0.00","0.00","0.00%","6.19%","6.11%","16.15%","4.14%","31.08%","11.19%","20.80%","-"
"9","CEG","Constellation Energy","330.900","+8.190","2.54%","3416445","1121585210","103375006091.1","327.060","329.930","25","5","325.710","322.710","331.860","319.760","1.75","66.67%","3.75","27.830","1.09","-0.05","-0.01%","2.29%","9.72%","5.88%","5.13%","61.52%","59.66%","48.57%","可再生能源公用事业"
"10","GEV","GE Vernova","624.170","+13.170","2.16%","4107343","2534570010","169914016629.8","617.840","626.250","10","444","611.690","611.000","625.660","596.506","1.72","-95.59%","4.77","110.943","1.51","-0.42","0.35%","-0.22%","7.23%","3.00%","24.22%","106.29%","155.83%","89.99%","专用工业机械"
